3510	249	255
3520	255	255
3530	255	249
3540	249	244
3550	244	238
3560	238	233
3570	233	228
3580	228	223
3590	223	218
3600	218	214
3610	214	209
3620	209	205
3630	205	201
3640	201	197
3650	197	193
3660	193	189
3670	189	185
3680	185	181
3690	181	178
3700	178	174
3710	174	171
3720	171	168
3730	168	165
3740	165	161
3750	161	159
3760	159	156
3770	156	153
3780	153	150
3790	150	148
3800	148	145
3810	145	143
3820	143	140
3830	140	138
3840	138	136
3850	136	134
3860	134	132
3870	132	130
3880	130	128
3890	128	126
3900	126	125
3910	125	123
3920	123	122
3930	122	120
3940	120	119
3950	119	117
3960	117	116
3970	116	115
3980	115	113
3990	113	112
4000	112	111
4010	111	110
4020	110	109
4030	109	108
4040	108	107
4050	107	106
4060	106	106
4070	106	105
4080	105	104
4090	104	103
4100	103	103
4110	103	102
4120	102	102
4130	102	101
4140	101	101
4150	101	100
4160	100	100
4170	100	099
4180	099	099
4190	099	099
4200	099	098
4210	098	098
4220	098	098
4230	098	097
4240	097	097
4250	097	097
4260	097	097
4270	097	097
4280	097	096
4290	096	096
4300	096	096
4310	095	096
4320	095	096
4330	095	096
4340	095	096
4350	095	096
4360	095	096
4370	095	096
4380	094	096
4390	094	096
4400	094	096
4410	094	096
4420	094	096
4430	094	096
4440	094	096
4450	093	096
4460	093	096
4470	093	096
4480	093	096
4490	093	096
4500	093	096
4510	093	096
4520	092	096
4530	092	096
4540	092	096
4550	092	096
4560	092	096
4570	092	096
4580	092	096
4590	091	096
4600	091	096
4610	091	096
4620	091	096
4630	091	096
4640	091	096
4650	091	096
4660	090	096
4670	090	096
4680	090	096
4690	090	096
4700	090	096
4710	090	096
4720	090	096
4730	089	096
4740	089	096
4750	089	096
4760	089	096
4770	089	096
4780	089	096
4790	089	096
4800	088	096
4810	088	096
4820	088	096
4830	088	096
4840	088	096
4850	088	096
4860	087	096
4870	087	096
4880	087	096
4890	087	096
4900	087	096
4910	087	096
4920	087	096
4930	086	096
4940	086	096
4950	086	096
4960	086	096
4970	086	096
4980	086	096
4990	086	096
5000	085	096
5010	085	096
5020	085	096
5030	085	096
5040	085	096
5050	085	096
5060	084	096
5070	084	096
5080	084	096
5090	084	096
5100	084	096
5110	084	096
5120	084	096
5130	083	096
5140	083	096
5150	083	096
5160	083	096
5170	083	096
5180	083	096
5190	082	096
5200	082	096
5210	082	096
5220	082	096
5230	082	096
5240	082	096
5250	082	096
5260	081	096
5270	081	096
5280	081	096
5290	081	096
5300	081	096
5310	081	096
5320	080	096
5330	080	096
5340	080	096
5350	080	096
5360	080	096
5370	080	096
5380	079	096
5390	079	096
5400	079	096
5410	079	096
5420	079	096
5430	079	096
5440	078	096
5450	078	096
5460	078	096
5470	078	096
5480	078	096
5490	078	096
5500	077	096
5510	077	096
5520	077	096
5530	077	096
5540	077	096
5550	077	096
5560	076	096
5570	076	096
5580	076	096
5590	076	096
5600	076	096
5610	076	096
5620	075	096
5630	075	096
5640	075	096
5650	075	096
5660	075	096
5670	075	096
5680	074	096
5690	074	096
5700	074	096
5710	074	096
5720	074	096
5730	074	096
5740	073	096
5750	073	096
5760	073	096
5770	073	096
5780	073	096
5790	073	096
5800	072	096
5810	072	096
5820	072	096
5830	072	096
5840	072	096
5850	071	096
5860	071	096
5870	071	096
5880	071	096
5890	071	096
5900	071	096
5910	070	096
5920	070	096
5930	070	096
5940	070	096
5950	070	096
5960	069	096
5970	069	096
5980	069	096
5990	069	096
6000	069	096
6010	069	096
6020	068	096
6030	068	096
6040	068	096
6050	068	096
6060	068	096
6070	067	096
6080	067	096
6090	067	096
6100	067	096
6110	067	096
6120	067	096
6130	066	096
6140	066	096
6150	066	096
6160	066	096
6170	066	096
6180	065	096
6190	065	096
6200	065	096
6210	065	096
6220	065	096
6230	064	096
6240	064	096
6250	064	096
6260	064	096
6270	064	096
6280	063	096
6290	063	096
6300	063	096
6310	063	096
6320	063	096
6330	062	096
6340	062	096
6350	062	096
6360	062	096
6370	062	096
6380	061	096
6390	061	096
6400	061	096
6410	061	096
6420	061	096
6430	060	096
6440	060	096
6450	060	096
6460	060	096
6470	060	096
6480	059	096
6490	059	096
6500	059	096
6510	059	096
6520	059	096
6530	058	096
6540	058	096
6550	058	096
6560	058	096
6570	057	096
6580	057	096
